Model,Avg. Statistic,Pearson,Significance,OOV Ratio,Pearson p-value,Significance p-value
w2v_sg_100_win10_nltk_cat_gc_1000mb.model,0.5642898563817722,0.5522517636154705,0.5763279491480741,0.4524886877828055,5.797714742754372e-19,7.200912279592206e-21
w2v_sg_100_win10_spacy_cat_gc_1000mb.model,0.5601193503487594,0.549129665266594,0.5711090354309247,1.3574660633484164,1.4358044909680661e-18,2.8656043020986624e-20
w2v_sg_100_win10_nltk_cat_gc_maxmb.model,0.5473515205615672,0.5362859148632428,0.5584171262598916,0.4524886877828055,8.806260306477153e-18,1.9492092296778094e-19
w2v_sg_100_spacy_cat_gc_1000mb.model,0.5445077484764168,0.5314063332433877,0.5576091637094459,1.3574660633484164,2.751945461367886e-17,3.282086434342122e-19
w2v_sg_100_win10_spacy_cat_gc_500mb.model,0.5313993598869577,0.5154773513962569,0.5473213683776585,1.3574660633484164,3.3878184335818227e-16,1.9563359999919695e-18
w2v_sg_100_win10_nltk_cat_gc_500mb.model,0.5283660248787434,0.5094535399540867,0.5472785098034002,1.3574660633484164,8.46417130250889e-16,1.9706877374096282e-18
w2v_sg_100_nltk_cat_gc_1000mb.model,0.5233375619395734,0.5083885137920007,0.5382866100871461,0.4524886877828055,7.332757056707421e-16,6.311730735956039e-18
w2v_sg_100_win10_spacy_cat_gc_50mb.model,0.5143761835145152,0.5090010110874991,0.5197513559415313,5.88235294117647,4.15244100323478e-15,8.645657069462688e-16
w2v_sg_100_nltk_cat_gc_maxmb.model,0.5092397163799026,0.49414437543712003,0.5243350573226853,0.4524886877828055,6.0274824166184415e-15,6.153711761765849e-17
w2v_sg_100_win10_spacy_cat_gc_250mb.model,0.502282589434844,0.4890144603714928,0.5155507184981953,2.262443438914027,2.1909375230783852e-14,4.583282971427121e-16
w2v_sg_100_spacy_cat_gc_250mb.model,0.49374419980766715,0.4786020832524863,0.508886316362848,2.262443438914027,9.139698360479574e-14,1.2495520833810558e-15
w2v_sg_100_spacy_cat_gc_500mb.model,0.4927522219622221,0.4738553094079266,0.5116491345165176,1.3574660633484164,1.3317420561096143e-13,6.075047635943625e-16
w2v_sg_100_nltk_cat_gc_500mb.model,0.49267624229087914,0.47360083698897376,0.5117516475927845,1.3574660633484164,1.377924134041388e-13,5.981351313885328e-16
w2v_sg_100_win10_nltk_cat_gc_250mb.model,0.48808083812225433,0.47339796033166653,0.5027637159128421,1.809954751131222,1.610995567488347e-13,2.6569018027937903e-15
w2v_sg_100_win10_nltk_cat_gc_100mb.model,0.47832617930225374,0.4725517942158688,0.4841005643886387,2.262443438914027,2.0503813031390244e-13,4.325016311057504e-14
w2v_sg_100_win10_spacy_cat_gc_100mb.model,0.4606495525504035,0.45551096605779773,0.46578813904300925,3.167420814479638,2.327100486661835e-12,6.371056027683831e-13
w2v_sg_100_win10_nltk_cat_gc_50mb.model,0.45634288771159226,0.4516451624373764,0.4610406129858081,6.334841628959276,8.460964057807803e-12,2.7334924116391135e-12
w2v_sg_100_spacy_cat_gc_50mb.model,0.4504695768609066,0.44573397521707636,0.4552051785047368,5.88235294117647,1.511600457372671e-11,4.918243309692713e-12
w2v_sg_100_nltk_cat_gc_250mb.model,0.4445126654008177,0.4299772372876938,0.45904809351394155,1.809954751131222,3.5452248328863944e-11,1.0427875426197627e-12
w2v_sg_100_spacy_cat_gc_100mb.model,0.44339190313862453,0.44825458255508865,0.4385292237221604,3.167420814479638,5.660728769134084e-12,1.8037506019025226e-11
w2v_cbow_100_spacy_cat_gc_1000mb.model,0.44007770344144537,0.4231480586962428,0.45700734818664795,1.3574660633484164,6.998046249815251e-11,1.198549180315019e-12
w2v_sg_100_nltk_cat_gc_100mb.model,0.417188576125207,0.41973253526242876,0.41464461698798527,2.262443438914027,1.2549525383455519e-10,2.2004695818511482e-10
w2v_cbow_100_spacy_cat_gc_500mb.model,0.4112591873859077,0.3933302954683371,0.42918807930347835,1.3574660633484164,1.7614196143211483e-09,3.499823294307521e-11
w2v_cbow_100_nltk_cat_gc_maxmb.model,0.4045458484746849,0.39097676800284703,0.41811492894652275,0.4524886877828055,1.89099591650615e-09,1.0135657556192565e-10
