Model,Exec model,Mode,Pretrained,CLS,Trained,Train pearson,Val pearson,Test pearson
Roberta mean,1,roberta,True,False,True,0.9244249468085448,0.40735160675693916,0.5417405170131413
Word2vec ccca300 mean,1,mean,True,True,True,0.7423923359923074,0.42540923736659353,0.5352360364413267
Word2vec ccca300 tfidf,1,tfidf,True,True,True,0.7908714411355382,0.47025627035545814,0.5285961669965422
Word2vec nlpl mean,4,mean,True,True,True,0.4596048444163787,0.431926276831888,0.5093175111646608
Random notrain,1,embeddings,False,True,False,0.9150864442245429,0.3484883749562505,0.5062968271801132
Word2vec nlpl mean,Baseline,mean,True,True,True,0.4516168628590781,0.41560928890921156,0.5007283491232175
Random,1,embeddings,False,True,True,0.9091324955736056,0.3573734055260371,0.49479238815056376
Word2vec nlpl tfidf,4,tfidf,True,True,True,0.4526638553721961,0.46510238389136954,0.49461022840083324
Word2vec nlpl tfidf,Baseline,tfidf,True,True,True,0.44618971547128083,0.4786739241319929,0.48974561805505334
Word2vec propi tfidf,Baseline,tfidf,True,True,True,0.45430262820875156,0.49351452974687593,0.48922819029166525
Random,3,embeddings,False,True,True,0.8900253887946019,0.344381621278097,0.479272361355404
Word2vec nlpl tfidf,5,tfidf,True,True,True,0.44806384198828153,0.45876989589433853,0.47910530073062024
Random notrain,3,embeddings,False,True,False,0.8917745622325199,0.37630872536740423,0.478991835255962
Roberta mean,Baseline,roberta,True,False,True,0.368514883530784,0.305404594816901,0.4785996535138997
Word2vec nlpl mean,1,mean,True,True,True,0.5797690642538598,0.35163024392301573,0.47287273475158353
Word2vec propi tfidf,5,tfidf,True,True,True,0.4478290730971414,0.477325703101955,0.47225330057285714
Word2vec ccca300 tfidf,Baseline,tfidf,True,True,True,0.38020615688562154,0.4071529961071621,0.46982762224221297
Word2vec propi tfidf,1,tfidf,True,True,True,0.6008532821881298,0.4485718933419007,0.46670837464214765
Initialized ccca300 notrain,0,embeddings,True,True,False,0.5205821342379946,0.40426689227185136,0.4648565069212115
Initialized w2v propi notrain,1,embeddings,True,True,False,0.4438017640998286,0.39880960525546016,0.4640009803629363
Word2vec propi mean,Baseline,mean,True,True,True,0.44380175758718865,0.39880959667364013,0.4640008022161489
Word2vec nlpl tfidf,1,tfidf,True,True,True,0.5995886878305354,0.4095521381313966,0.46356297646963307
Word2vec propi mean,1,mean,True,True,True,0.5736645136647778,0.3974918317819819,0.4617145335994835
Initialized w2v propi,1,embeddings,True,True,True,0.9565432223263529,0.4333858397210637,0.45929557080370353
Initialized ccca300 notrain,2,embeddings,True,True,False,0.5805506869904138,0.4390063131248655,0.4539255292613597
Word2vec nlpl mean,5,mean,True,True,True,0.4107654070594965,0.3997682483146888,0.4535655879913795
Spacy md,1,spacy,True,True,True,0.7131310555916077,0.3140729064429217,0.45187187620433666
Roberta mean,4,roberta,True,False,True,0.33589782391712786,0.2841879975119484,0.4469764750757528
Initialized ccca300,1,embeddings,True,True,True,0.9611891253900021,0.35772810857326254,0.4423313792572862
Word2vec ccca300 tfidf,2,tfidf,True,True,True,0.7938691781539281,0.35850892430556214,0.43163468808668204
Initialized w2v propi notrain,0,embeddings,True,True,False,0.5134749759736461,0.44063778579028123,0.4300119213824103
Word2vec propi tfidf,4,tfidf,True,True,True,0.42510549333828124,0.4393783370265939,0.4275781148453721
Initialized w2v propi notrain,2,embeddings,True,True,False,0.5362044377638825,0.4035914564630265,0.425201217736918
Word2vec ccca300 mean,2,mean,True,True,True,0.7384884258338105,0.35094007500676777,0.41760204367253473
Onehot,5,onehot,True,True,True,0.3653679206297174,0.28646642409333617,0.39817253976218314
Word2vec ccca300 tfidf,5,tfidf,True,True,True,0.3204626521401082,0.3459007894578422,0.397685975714769
Word2vec ccca300 mean,Baseline,mean,True,True,True,0.3050556874750933,0.245373380455843,0.39569443375959146
Initialized ccca300 notrain,1,embeddings,True,True,False,0.3050556829378207,0.24537329574244662,0.3956943575408665
Onehot,1,onehot,True,True,True,0.7041690957377972,0.2893092690666921,0.38466595741090454
Roberta cls,1,roberta,True,True,True,0.6713340587075851,0.24989043328921978,0.3776131617215192
Word2vec nlpl tfidf,2,tfidf,True,True,True,0.6559749705195634,0.34060205130484245,0.37740099488987194
Roberta mean,5,roberta,True,False,True,0.31765778340500117,0.23061866385565988,0.3749709759039481
Onehot,Baseline,onehot,True,True,True,0.3640488467597868,0.2842353108133078,0.37339139843716607
Roberta mean,2,roberta,True,False,True,0.636525701468221,0.22867675117641917,0.36578050080620056
Word2vec propi tfidf,2,tfidf,True,True,True,0.6915329359050475,0.3788050043703318,0.3651566258022474
Spacy md,2,spacy,True,True,True,0.6104348390960403,0.3260547952009291,0.36422394479941034
Initialized ccca300,3,embeddings,True,True,True,0.9290969211083622,0.35886039092815414,0.3575586235243486
Word2vec nlpl mean,2,mean,True,True,True,0.610067423190348,0.34000354809000866,0.3506901650819648
Word2vec propi mean,2,mean,True,True,True,0.6160941366023771,0.36816964653763257,0.3465496622124584
Spacy md,5,spacy,True,True,True,0.2874410332271472,0.24040849982968887,0.33987753685430677
Onehot,4,onehot,True,True,True,0.3442197171293979,0.2809567310254104,0.33536740521849057
Word2vec ccca300 tfidf,3,tfidf,True,True,True,0.2783307253545455,0.19654621909632347,0.3285006967423163
Word2vec ccca300 tfidf,0,tfidf,True,True,True,0.4448748521114473,0.13434143641256432,0.3264751716222275
Word2vec ccca300 mean,0,mean,True,True,True,0.4098586228334796,0.18329334716944407,0.32525690501967813
Spacy md,Baseline,spacy,True,True,True,0.23675119262393876,0.19427876742553674,0.3211717557887849
Word2vec nlpl tfidf,0,tfidf,True,True,True,0.4252032310089352,0.20238192072110692,0.3167755692322911
Initialized w2v propi,0,embeddings,True,True,True,0.838103718347331,0.26404703839348204,0.3140289333610745
Word2vec nlpl tfidf,3,tfidf,True,True,True,0.3235493223076037,0.18061823200140215,0.3138386720725099
Word2vec nlpl mean,3,mean,True,True,True,0.3041763107743964,0.19437863579858278,0.31332425439240585
