Model,Exec model,Mode,Pretrained,CLS,Trained,Train pearson,Val pearson,Test pearson,Train spearman,Val spearman,Test spearman
Random,1,embeddings,False,True,True,0.9277871563870186,0.49564646948698976,0.5984785019008656,0.9478409966651851,0.5120878097726875,0.6366743943908885
Random v2,1,embeddings,False,True,False,0.9259029335210576,0.5005258730096124,0.5932375598316117,0.9470334285212679,0.5337018282036852,0.6402759568570962
Roberta hugging mean,1,roberta-hugging,True,False,True,0.9628293784288033,0.49752400051410683,0.5596829968917638,0.9853336150785865,0.4976046446108913,0.5936488501966007
Roberta hugging mean,5,roberta-hugging,True,False,True,0.5669985861558846,0.539418804950621,0.5503774057809037,0.5903774151312147,0.5378131318920276,0.610219347409672
Roberta hugging mean,Baseline,roberta-hugging,True,False,True,0.5583209670729385,0.5336027004455592,0.5449246836406729,0.5799244677254479,0.5328564916011521,0.6074177955148827
Roberta mean,1,roberta,True,False,True,0.9256016983641653,0.4071040486657718,0.5418506499507176,0.9713398216166836,0.42180642645879934,0.5745289904312965
Initialized w2v propi notrain,0,embeddings,True,True,False,0.6545556848149863,0.5098727971949099,0.5396286176016157,0.6475145444699805,0.482045078841531,0.5280866489707257
Word2vec propi tfidf,1,tfidf,True,True,True,0.8310546680877003,0.47464937507036475,0.5394617953649374,0.8691587446817701,0.47228789256913806,0.5717608953506547
Roberta hugging cls,Baseline,roberta-hugging,True,True,True,0.4670376259441028,0.4656631283463054,0.5391087423557588,0.5041355405271225,0.47213050140176555,0.5665237301881412
Random,3,embeddings,False,True,True,0.9018813791147653,0.4213678655696236,0.5366593987033159,0.9408251988965437,0.42110273833166934,0.5435606823557688
Word2vec ccca300 mean,1,mean,True,True,True,0.76268799921769,0.42896424696368884,0.5354045936988941,0.7823312035903566,0.4452332073338378,0.5747865983759703
Word2vec propi mean,1,mean,True,True,True,0.8207038811020841,0.5001721519007114,0.5344525504692369,0.8497085138006606,0.4920439961365499,0.5830869724811877
Word2vec propi tfidf,Baseline,tfidf,True,True,True,0.48115648843624825,0.5298492350034816,0.5268846008683596,0.5093570834371615,0.5104593297957478,0.5743859492565083
Word2vec ccca300 tfidf,1,tfidf,True,True,True,0.7953674208752377,0.46867734004726846,0.5267420132479133,0.8256149864293351,0.4723273358221205,0.5771386063803932
Word2vec 100 mean,1,mean,True,True,True,0.6278591862488845,0.4390400306417104,0.5234057597535973,0.6350501764661408,0.45233484309637295,0.5598311983516601
Random v2,3,embeddings,False,True,False,0.889292073267007,0.41322888418726056,0.5226271669495448,0.93329398248385,0.4152856188028534,0.5343787094471838
Roberta 0 mean,1,roberta2,True,False,True,0.9442322225468445,0.402820945114908,0.5217060436348692,0.9813765065830493,0.4029308005944195,0.5554675670969758
Initialized w2v propi,1,embeddings,True,True,True,0.9568426293988457,0.49393444128452846,0.5202866862249385,0.9854298339071084,0.5146634010837261,0.5572240571566804
Word2vec propi tfidf,5,tfidf,True,True,True,0.4695509239813721,0.5266417013070979,0.5182234334197109,0.5069081552150136,0.5064460313486303,0.5676728086453721
Roberta hugging cls,1,roberta-hugging,True,True,True,0.8328832030394986,0.4576971904468251,0.5174153528178418,0.8609976061871281,0.46179564699608155,0.5501989751530566
Word2vec nlpl mean,4,mean,True,True,True,0.4741235160609102,0.4467522960085576,0.517239947765372,0.48923568413496543,0.4387472302415267,0.5496104390664973
Word2vec propi tfidf,4,tfidf,True,True,True,0.4694045308833781,0.4816013889405137,0.5172009915837611,0.4871254458095135,0.4729010976858581,0.5386963114046726
Word2vec 1000 tfidf,Baseline,tfidf,True,True,True,0.4587621877451197,0.4770486781153345,0.5168715457508475,0.49955318514979163,0.4683796637792283,0.5597038098979934
Word2vec nlpl mean,5,mean,True,True,True,0.46948221062400697,0.4397638136247367,0.5143738394966416,0.48888695155891104,0.43806877309711106,0.5494720117857419
